phone_number,email,credit_score,age_group,family_background,income,occupation,previous_interaction,comments,intent
044-241-8030,charlesperry@jordan-calderon.net,437,36-50,Married with Kids,850739,Business,Yes,urgent,1
397.060.2750,ruth70@sawyer-jensen.com,660,26-35,Married with Kids,884110,Engineer,Yes,please call back,1
+1-557-196-2544x717,pwatkins@frye.com,728,18-25,Single,217155,Engineer,No,not interested,0
721.104.8887,oyoung@hotmail.com,759,36-50,Married,365951,Student,Yes,follow up later,1
001-381-797-8006x25284,oneillrebecca@gmail.com,755,51+,Single,256096,Business,Yes,,1
001-584-292-1430x60334,laurenshaw@gmail.com,688,36-50,Married with Kids,805378,Student,Yes,not interested,1
001-779-501-3465,michaelallen@hotmail.com,379,18-25,Married with Kids,407484,Engineer,No,,0
048.496.7619,lisaleon@gmail.com,491,26-35,Single,683397,Business,Yes,please call back,1
3795353418,jennifer00@yahoo.com,633,18-25,Married,377863,Student,Yes,,1
(660)224-5700x66472,cpatterson@stevenson.com,632,51+,Single,183704,Student,Yes,urgent,1
001-999-116-7357x872,sonya83@hotmail.com,619,51+,Married,273739,Doctor,Yes,please call back,1
(297)052-8857x54881,daniellerobinson@hotmail.com,408,51+,Married with Kids,333073,Doctor,Yes,please call back,1
3069940419,alawson@harmon.com,517,36-50,Married with Kids,876797,Student,Yes,please call back,1
8155522694,sgonzalez@yahoo.com,804,36-50,Married,840650,Engineer,Yes,please call back,1
971.465.6812,walkerjeffery@yahoo.com,670,26-35,Married,925798,Engineer,No,not interested,1
001-491-171-2291x806,christophercruz@jones.info,698,51+,Single,999151,Business,No,,1
023.932.1488,johnsonwyatt@lee.biz,715,51+,Married with Kids,148126,Business,No,not interested,0
160-447-9786x0995,juan65@osborn.biz,419,18-25,Married,825808,Student,Yes,not interested,1
+1-489-381-7137x607,lturner@yahoo.com,829,51+,Single,422391,Artist,Yes,urgent,1
(857)654-5738x066,jameswright@gmail.com,844,36-50,Single,233687,Business,No,,1
411.594.6515,frankjoan@wallace.com,469,26-35,Married,551992,Student,No,,1
258.119.4378x963,jessicaramos@kelly.org,831,26-35,Single,991237,Student,Yes,urgent,1
123-499-0926x8928,heidiwiggins@gmail.com,534,18-25,Single,393210,Artist,Yes,,1
857.506.2759,nwalker@yahoo.com,510,18-25,Married with Kids,446778,Business,No,follow up later,0
(301)003-8204x49521,christopher15@gmail.com,459,36-50,Married with Kids,309930,Business,Yes,please call back,1
231.317.3344,jjohnson@gmail.com,513,36-50,Married with Kids,494803,Business,No,,0
001-072-694-5122x581,wrightnicole@castaneda.org,341,51+,Married,707474,Doctor,Yes,,1
(542)176-2993,yvettevasquez@jimenez.com,637,51+,Married with Kids,766318,Artist,No,urgent,1
001-729-689-4828x4864,jason79@taylor.org,518,26-35,Married with Kids,326138,Business,No,urgent,1
+1-832-624-4623,thompsonallen@gmail.com,676,36-50,Married with Kids,443726,Artist,No,not interested,0
634.734.6342,jasongutierrez@hotmail.com,495,26-35,Married with Kids,721481,Doctor,Yes,follow up later,1
666-636-6622,barbaravazquez@yahoo.com,696,26-35,Married,985618,Student,No,urgent,1
125-282-3253x09187,amitchell@aguilar.info,707,36-50,Single,383605,Business,Yes,not interested,0
5217613733,monica34@harvey-campbell.com,760,36-50,Married,738402,Business,Yes,follow up later,1
462.584.8560,hernandezwalter@gmail.com,499,18-25,Single,398605,Student,No,follow up later,0
+1-832-414-3217x030,nwallace@taylor.com,549,51+,Single,773161,Student,No,please call back,1
870.570.5745,omay@gmail.com,752,18-25,Married with Kids,324817,Doctor,Yes,follow up later,1
535.254.3478,randall00@baldwin-brown.com,846,18-25,Married with Kids,802710,Student,Yes,please call back,1
453.397.2379,lawsonkaren@gmail.com,806,36-50,Single,209808,Artist,No,please call back,1
4887910833,michaelellis@williams.com,693,36-50,Married,136545,Doctor,No,not interested,0
